Tytul;issn;eissn;punkty;;;;;;;;
ACOUSTICAL PHYSICS;1063-7710;;20;;;;;;;;
Acoustics Australia;1839-2571;;15;;;;;;;;
Across Languages and Cultures;1585-1923;;20;;;;;;;;
ACS Applied Materials & Interfaces;1944-8244;;40;;;;;;;;
ACS Catalysis;2155-5435;;45;;;;;;;;
ACS Chemical Biology;1554-8929;;35;;;;;;;;
ACS Chemical Neuroscience;1948-7193;;40;;;;;;;;
ACS Combinatorial Science;2156-8952;;40;;;;;;;;
ACS Macro Letters;2161-1653;;45;;;;;;;;
ACS Medicinal Chemistry Letters;1948-5875;;35;;;;;;;;
ACS Nano;1936-0851;;45;;;;;;;;
ACS Photonics;2330-4022;;40;;;;;;;;
ACS Sustainable Chemistry & Engineering;2168-0485;;40;;;;;;;;
ACS Synthetic Biology;2161-5063;;40;;;;;;;;
ACSMS HEALTH & FITNESS JOURNAL;1091-5397;;15;;;;;;;;
ACTA ACUSTICA UNITED WITH ACUSTICA;1610-1928;;25;;;;;;;;
ACTA ADRIATICA;0001-5113;;20;;;;;;;;
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL
SCIENCE;0906-4702;;20;;;;;;;;
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND
PLANT SCIENCE;0906-4710;;20;;;;;;;;
ACTA ALIMENTARIA;0139-3006;;15;;;;;;;;
ACTA AMAZONICA;0044-5967;;15;;;;;;;;
ACTA ANAESTHESIOLOGICA SCANDINAVICA;0001-5172;;30;;;;;;;;
ACTA APPLICANDAE MATHEMATICAE;0167-8019;;30;;;;;;;;
ACTA ARITHMETICA;0065-1036;;20;;;;;;;;
ACTA ASTRONAUTICA;0094-5765;;35;;;;;;;;
ACTA ASTRONOMICA;0001-5237;;30;;;;;;;;
ACTA BIOCHIMICA ET BIOPHYSICA SINICA;1672-9145;;20;;;;;;;;
ACTA BIOCHIMICA POLONICA;0001-527X;;15;;;;;;;;
Acta Bioethica;1726-569X;;15;;;;;;;;
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA;0001-5296;;20;;;;;;;;
ACTA BIOLOGICA HUNGARICA;0236-5383;;15;;;;;;;;
Acta Biomaterialia;1742-7061;;45;;;;;;;;
ACTA BIOQUIMICA CLINICA LATINOAMERICANA;0325-2957;;15;;;;;;;;
ACTA BIOTHEORETICA;0001-5342;;20;;;;;;;;
Acta Botanica Brasilica;0102-3306;;20;;;;;;;;
ACTA BOTANICA CROATICA;0365-0588;;20;;;;;;;;
ACTA BOTANICA GALLICA;1253-8078;;15;;;;;;;;
Acta Botanica Mexicana;0187-7151;;15;;;;;;;;
ACTA CARDIOLOGICA;0001-5385;;15;;;;;;;;
Acta Cardiologica Sinica;1011-6842;;15;;;;;;;;
ACTA CARSOLOGICA;0583-6050;;15;;;;;;;;
ACTA CHIMICA SINICA;0567-7351;;20;;;;;;;;
ACTA CHIMICA SLOVENICA;1318-0207;;20;;;;;;;;
ACTA CHIROPTEROLOGICA;1508-1109;;25;;;;;;;;
Acta Chirurgiae Orthopaedicae et Traumatologiae
Cechoslovaca;0001-5415;;15;;;;;;;;
ACTA CHIRURGICA BELGICA;0001-5458;;15;;;;;;;;
ACTA CHROMATOGRAPHICA;1233-2356;;15;;;;;;;;
Acta Cirurgica Brasileira;0102-8650;;15;;;;;;;;
ACTA CLINICA BELGICA;1784-3286;;20;;;;;;;;
Acta Clinica Croatica;0353-9466;;15;;;;;;;;
Acta Crystallographica A-Foundation and Advances;2053-2733;;50;;;;;;;;
Acta Crystallographica Section B-Structural Science Crystal
Engineering and Materials;2052-5206;;30;;;;;;;;
Acta Crystallographica Section C-Structural Chemistry;2053-2296;;15;;;;;;;;
ACTA CRYSTALLOGRAPHICA SECTION D-BIOLOGICAL
CRYSTALLOGRAPHY;1399-0047;;45;;;;;;;;
Acta Crystallographica Section D-Structural Biology;2059-7983;;45;;;;;;;;
Acta Crystallographica Section F-Structural Biology
Communications;2053-230X;;15;;;;;;;;
ACTA CYTOLOGICA;0001-5547;;15;;;;;;;;
ACTA DERMATO-VENEREOLOGICA;0001-5555;;40;;;;;;;;
Acta Dermatovenerologica Croatica;1330-027X;;15;;;;;;;;
ACTA DIABETOLOGICA;0940-5429;;30;;;;;;;;
Acta Endocrinologica-Bucharest;1841-0987;;15;;;;;;;;
Acta Endoscopica;0240-642X;;15;;;;;;;;
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE;0374-1036;;25;;;;;;;;
ACTA ETHOLOGICA;0873-9749;;20;;;;;;;;
ACTA GASTRO-ENTEROLOGICA BELGICA;0001-5644;;15;;;;;;;;
Acta Geodaetica et Geophysica;2213-5812;;15;;;;;;;;
Acta Geodaetica et Geophysica Hungarica;1217-8977;;15;;;;;;;;
Acta Geodynamica et Geomaterialia;1214-9705;;20;;;;;;;;
Acta Geographica Slovenica-Geografski Zbornik;1581-6613;;15;;;;;;;;
ACTA GEOLOGICA POLONICA;0001-5709;;25;;;;;;;;
ACTA GEOLOGICA SINICA-ENGLISH EDITION;1000-9515;;25;;;;;;;;
Acta Geophysica;1895-7455;;20;;;;;;;;
Acta Geotechnica;1861-1125;;35;;;;;;;;
Acta Geotechnica Slovenica;1854-0171;;15;;;;;;;;
ACTA HAEMATOLOGICA;0001-5792;;15;;;;;;;;
Acta Herpetologica;1827-9635;;20;;;;;;;;
ACTA HISTOCHEMICA;0065-1281;;15;;;;;;;;
ACTA HISTOCHEMICA ET CYTOCHEMICA;0044-5991;;15;;;;;;;;
Acta Histriae;1318-0185;;20;;;;;;;;
ACTA ICHTHYOLOGICA ET PISCATORIA;0137-1592;;20;;;;;;;;
ACTA INFORMATICA;0001-5903;;15;;;;;;;;
Acta Linguistica Hungarica;1216-8076;;20;;;;;;;;
ACTA MATERIALIA;1359-6454;;45;;;;;;;;
ACTA MATHEMATICA;0001-5962;;50;;;;;;;;
ACTA MATHEMATICA HUNGARICA;0236-5294;;20;;;;;;;;
ACTA MATHEMATICA SCIENTIA;0252-9602;;25;;;;;;;;
ACTA MATHEMATICA SINICA-ENGLISH SERIES;1439-8516;;25;;;;;;;;
Acta Mathematicae Applicatae Sinica-English Series;0168-9673;;15;;;;;;;;
ACTA MECHANICA;0001-5970;;30;;;;;;;;
ACTA MECHANICA SINICA;0567-7718;;25;;;;;;;;
ACTA MECHANICA SOLIDA SINICA;0894-9166;;25;;;;;;;;
Acta Medica Mediterranea;0393-6384;;15;;;;;;;;
ACTA MEDICA OKAYAMA;0386-300X;;15;;;;;;;;
Acta Medica Portuguesa;1646-0758;;15;;;;;;;;
ACTA METALLURGICA SINICA;0412-1961;;25;;;;;;;;
Acta Metallurgica Sinica-English Letters;1006-7191;;30;;;;;;;;
Acta Meteorologica Sinica;0894-0525;;20;;;;;;;;
ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA;1217-8950;;15;;;;;;;;
Acta Microscopica;0798-4545;;15;;;;;;;;
Acta Montanistica Slovaca;1335-1788;;15;;;;;;;;
Acta Naturae;2075-8251;;15;;;;;;;;
ACTA NEUROBIOLOGIAE EXPERIMENTALIS;0065-1400;;20;;;;;;;;
ACTA NEUROCHIRURGICA;0001-6268;;25;;;;;;;;
ACTA NEUROLOGICA BELGICA;0300-9009;;15;;;;;;;;
ACTA NEUROLOGICA SCANDINAVICA;0001-6314;;25;;;;;;;;
ACTA NEUROPATHOLOGICA;0001-6322;;45;;;;;;;;
ACTA NEUROPSYCHIATRICA;0924-2708;1601-5215;15;;;;;;;;
ACTA NUMERICA;0962-4929;;50;;;;;;;;
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA;0001-6349;;30;;;;;;;;
ACTA OCEANOLOGICA SINICA;0253-505X;;15;;;;;;;;
ACTA ODONTOLOGICA SCANDINAVICA;0001-6357;;25;;;;;;;;
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY;1146-609X;;25;;;;;;;;
ACTA OECONOMICA;0001-6373;;20;;;;;;;;
Acta of Bioengineering and Biomechanics;1509-409X;;15;;;;;;;;
ACTA ONCOLOGICA;0284-186X;;30;;;;;;;;
ACTA OPHTHALMOLOGICA;1755-375X;;35;;;;;;;;
ACTA ORNITHOLOGICA;0001-6454;;35;;;;;;;;
Acta Orthopaedica;1745-3674;;40;;;;;;;;
Acta Orthopaedica Belgica;0001-6462;;20;;;;;;;;
Acta Orthopaedica et Traumatologica Turcica;1017-995X;;20;;;;;;;;
Acta Ortopedica Brasileira;1413-7852;;15;;;;;;;;
ACTA OTO-LARYNGOLOGICA;0001-6489;;20;;;;;;;;
Acta Otorhinolaryngologica Italica;0392-100X;;25;;;;;;;;
ACTA PAEDIATRICA;0803-5253;;30;;;;;;;;
ACTA PALAEONTOLOGICA POLONICA;0567-7920;;35;;;;;;;;
ACTA PARASITOLOGICA;1230-2821;;20;;;;;;;;
Acta Paulista de Enfermagem;0103-2100;;15;;;;;;;;
ACTA PETROLOGICA SINICA;1000-0569;;30;;;;;;;;
ACTA PHARMACEUTICA;1330-0075;;20;;;;;;;;
ACTA PHARMACOLOGICA SINICA;1671-4083;;30;;;;;;;;
ACTA PHYSICA POLONICA A;0587-4246;;15;;;;;;;;
ACTA PHYSICA POLONICA B;0587-4254;;20;;;;;;;;
ACTA PHYSICA SINICA;1000-3290;;20;;;;;;;;
ACTA PHYSICA SLOVACA;0323-0465;;40;;;;;;;;
ACTA PHYSICO-CHIMICA SINICA;1000-6818;;15;;;;;;;;
ACTA PHYSIOLOGIAE PLANTARUM;0137-5881;;25;;;;;;;;
Acta Physiologica;1748-1708;;35;;;;;;;;
ACTA PHYSIOLOGICA HUNGARICA;0231-424X;;15;;;;;;;;
Acta Politica;0001-6810;;30;;;;;;;;
ACTA POLONIAE PHARMACEUTICA;0001-6837;;15;;;;;;;;
ACTA POLYMERICA SINICA;1000-3304;;15;;;;;;;;
Acta Polytechnica Hungarica;1785-8860;;20;;;;;;;;
ACTA PROTOZOOLOGICA;0065-1583;;15;;;;;;;;
ACTA PSYCHIATRICA SCANDINAVICA;0001-690X;;40;;;;;;;;
ACTA PSYCHOLOGICA;0001-6918;;30;;;;;;;;
ACTA RADIOLOGICA;0284-1851;;25;;;;;;;;
Acta Reumatologica Portuguesa;0303-464X;;15;;;;;;;;
Acta Scientiae Veterinariae;1678-0345;;15;;;;;;;;
Acta Scientiarum Polonorum-Hortorum Cultus;1644-0692;;20;;;;;;;;
ACTA SCIENTIARUM-AGRONOMY;1807-8621;;25;;;;;;;;
ACTA SCIENTIARUM-TECHNOLOGY;1806-2563;;20;;;;;;;;
ACTA SOCIETATIS BOTANICORUM POLONIAE;0001-6977;;25;;;;;;;;
ACTA SOCIOLOGICA;0001-6993;;30;;;;;;;;
ACTA TROPICA;0001-706X;;35;;;;;;;;
ACTA VETERINARIA BRNO;0001-7213;;20;;;;;;;;
ACTA VETERINARIA HUNGARICA;0236-6290;;25;;;;;;;;
ACTA VETERINARIA SCANDINAVICA;0044-605X;;35;;;;;;;;
ACTA VETERINARIA-BEOGRAD;0567-8315;;15;;;;;;;;
ACTA VIROLOGICA;0001-723X;;15;;;;;;;;
ACTA ZOOLOGICA;0001-7272;;25;;;;;;;;
ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE;1217-8837;;15;;;;;;;;
ACTA ZOOLOGICA BULGARICA;0324-0770;;15;;;;;;;;
ACTAS ESPANOLAS DE PSIQUIATRIA;1139-9287;;15;;;;;;;;
Actas Urologicas Espanolas;0210-4806;;15;;;;;;;;
ACTES DE LA RECHERCHE EN SCIENCES SOCIALES;0335-5322;;15;;;;;;;;
Action Research;1476-7503;;25;;;;;;;;
Active Learning in Higher Education;1469-7874;;20;;;;;;;;
ACTUALITE CHIMIQUE;0151-9093;;15;;;;;;;;
ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH;0360-1293;;20;;;;;;;;
Acupuncture in Medicine;0964-5284;;25;;;;;;;;
Ad Hoc & Sensor Wireless Networks;1551-9899;;15;;;;;;;;
Ad Hoc Networks;1570-8705;;35;;;;;;;;
ADANSONIA;1280-8571;;15;;;;;;;;
ADAPTED PHYSICAL ACTIVITY QUARTERLY;0736-5829;;30;;;;;;;;
ADAPTIVE BEHAVIOR;1059-7123;;25;;;;;;;;
ADDICTION;0965-2140;;45;;;;;;;;
ADDICTION BIOLOGY;1355-6215;;45;;;;;;;;
ADDICTION RESEARCH & THEORY;1606-6359;;25;;;;;;;;
ADDICTIVE BEHAVIORS;0306-4603;;35;;;;;;;;
Adicciones;0214-4840;;20;;;;;;;;
ADMINISTRATION & SOCIETY;0095-3997;;25;;;;;;;;
Administration and Policy in Mental Health and Mental
Health Services Research;0894-587X;;40;;;;;;;;
ADMINISTRATION IN SOCIAL WORK;0364-3107;;25;;;;;;;;
ADMINISTRATIVE LAW REVIEW;0001-8368;;35;;;;;;;;
ADMINISTRATIVE SCIENCE QUARTERLY;0001-8392;;50;;;;;;;;
ADSORPTION SCIENCE & TECHNOLOGY;0263-6174;;20;;;;;;;;
ADSORPTION-JOURNAL OF THE INTERNATIONAL
ADSORPTION SOCIETY;0929-5607;;30;;;;;;;;
ADULT EDUCATION QUARTERLY;0741-7136;;25;;;;;;;;
ADVANCED COMPOSITE MATERIALS;0924-3046;;20;;;;;;;;
ADVANCED COMPOSITES LETTERS;0963-6935;;15;;;;;;;;
ADVANCED DRUG DELIVERY REVIEWS;0169-409X;;50;;;;;;;;
Advanced Energy Materials;1614-6832;;45;;;;;;;;
ADVANCED ENGINEERING INFORMATICS;1474-0346;;40;;;;;;;;
ADVANCED ENGINEERING MATERIALS;1438-1656;;30;;;;;;;;
ADVANCED FUNCTIONAL MATERIALS;1616-301X;;45;;;;;;;;
Advanced Healthcare Materials;2192-2640;;40;;;;;;;;
ADVANCED MATERIALS;0935-9648;;45;;;;;;;;
ADVANCED MATERIALS & PROCESSES;0882-7958;;15;;;;;;;;
Advanced Materials Interfaces;2196-7350;;35;;;;;;;;
ADVANCED NONLINEAR STUDIES;1536-1365;;30;;;;;;;;
Advanced Optical Materials;2195-1071;;40;;;;;;;;
ADVANCED POWDER TECHNOLOGY;0921-8831;;30;;;;;;;;
ADVANCED ROBOTICS;0169-1864;;20;;;;;;;;
Advanced Science;2198-3844;;40;;;;;;;;
Advanced Steel Construction;1816-112X;;20;;;;;;;;
ADVANCED SYNTHESIS & CATALYSIS;1615-4150;;45;;;;;;;;
Advances in Agronomy;0065-2113;;50;;;;;;;;
ADVANCES IN ANATOMIC PATHOLOGY;1072-4109;;35;;;;;;;;
Advances in Anatomy Embryology and Cell Biology;0301-5556;;40;;;;;;;;
Advances in Applied Ceramics;1743-6753;;30;;;;;;;;
Advances in Applied Clifford Algebras;0188-7009;;20;;;;;;;;
ADVANCES IN APPLIED MATHEMATICS;0196-8858;;30;;;;;;;;
Advances in Applied Mathematics and Mechanics;2070-0733;;25;;;;;;;;
Advances in Applied Mechanics;0065-2156;;50;;;;;;;;
Advances in Applied Microbiology;0065-2164;;40;;;;;;;;
ADVANCES IN APPLIED PROBABILITY;0001-8678;;25;;;;;;;;
Advances in Astronomy;1687-7969;;25;;;;;;;;
ADVANCES IN ATMOSPHERIC SCIENCES;0256-1530;;20;;;;;;;;
Advances In Atomic Molecular and Optical Physics;1049-250X;;40;;;;;;;;
Advances in Biochemical Engineering-Biotechnology;0724-6145;;30;;;;;;;;
Advances in Botanical Research;0065-2296;;35;;;;;;;;
Advances in Calculus of Variations;1864-8258;;35;;;;;;;;
Advances in Cancer Research;0065-230X;;40;;;;;;;;
Advances in Carbohydrate Chemistry and Biochemistry;0065-2318;;45;;;;;;;;
Advances in Catalysis;0360-0564;;40;;;;;;;;
ADVANCES IN CEMENT RESEARCH;0951-7197;;25;;;;;;;;
Advances in Chemical Physics;0065-2385;;40;;;;;;;;
Advances in Child Development and Behavior;0065-2407;;25;;;;;;;;
Advances in Chromatography;0065-2415;;20;;;;;;;;
ADVANCES IN CHRONIC KIDNEY DISEASE;1548-5595;;30;;;;;;;;
Advances in Clinical and Experimental Medicine;1899-5276;;15;;;;;;;;
Advances in Clinical Chemistry;0065-2423;;45;;;;;;;;
Advances in Cognitive Psychology;1895-1171;;20;;;;;;;;
ADVANCES IN COLLOID AND INTERFACE SCIENCE;0001-8686;;45;;;;;;;;
ADVANCES IN COMPLEX SYSTEMS;0219-5259;;25;;;;;;;;
ADVANCES IN COMPUTATIONAL MATHEMATICS;1019-7168;;35;;;;;;;;
Advances in Computers;0065-2458;;15;;;;;;;;
Advances in Condensed Matter Physics;1687-8108;;20;;;;;;;;
Advances in Data Analysis and Classification;1862-5347;;35;;;;;;;;
Advances in Difference Equations;1687-1847;;30;;;;;;;;
Advances in Differential Equations;1079-9389;;35;;;;;;;;
Advances in Ecological Research;0065-2504;;40;;;;;;;;
Advances in Electrical and Computer Engineering;1582-7445;;15;;;;;;;;
ADVANCES IN ENGINEERING SOFTWARE;0965-9978;;30;;;;;;;;
Advances in Experimental Medicine and Biology;0065-2598;;25;;;;;;;;
Advances in Experimental Social Psychology;0065-2601;;50;;;;;;;;
Advances in Genetics;0065-2660;;40;;;;;;;;
ADVANCES IN GEOMETRY;1615-715X;;20;;;;;;;;
Advances in Geophysics;0065-2687;;40;;;;;;;;
ADVANCES IN HEALTH SCIENCES EDUCATION;1382-4996;;40;;;;;;;;
Advances in Heterocyclic Chemistry;0065-2725;;30;;;;;;;;
Advances in High Energy Physics;1687-7357;;30;;;;;;;;
Advances in Imaging and Electron Physics;1076-5670;;20;;;;;;;;
Advances in Immunology;0065-2776;;40;;;;;;;;
Advances in Inorganic Chemistry;0898-8838;;35;;;;;;;;
Advances in Insect Physiology;0065-2806;;50;;;;;;;;
Advances in Life Course Research;1569-4909;;40;;;;;;;;
Advances in Marine Biology;0065-2881;;50;;;;;;;;
Advances in Materials Science and Engineering;1687-8434;;20;;;;;;;;
Advances in Mathematical Physics;1687-9120;;20;;;;;;;;
ADVANCES IN MATHEMATICS;0001-8708;;45;;;;;;;;
Advances in Mathematics of Communications;1930-5346;;20;;;;;;;;
Advances in Mechanical Engineering;1687-8132;;25;;;;;;;;
Advances in Medical Sciences;1896-1126;;15;;;;;;;;
Advances in Meteorology;1687-9309;;20;;;;;;;;
Advances in Microbial Physiology;0065-2911;;40;;;;;;;;
Advances in Natural Sciences-Nanoscience and
Nanotechnology;2043-6254;;25;;;;;;;;
Advances in Neonatal Care;1536-0903;;25;;;;;;;;
Advances in Nonlinear Analysis;2191-9496;;35;;;;;;;;
ADVANCES IN NURSING SCIENCE;0161-9268;;25;;;;;;;;
Advances in Nutrition;2161-8313;;45;;;;;;;;
Advances in Optics and Photonics;1943-8206;;50;;;;;;;;
Advances in Organometallic Chemistry;0065-3055;;50;;;;;;;;
Advances in Parasitology;0065-308X;;40;;;;;;;;
Advances in Physical Organic Chemistry;0065-3160;;30;;;;;;;;
ADVANCES IN PHYSICS;0001-8732;;50;;;;;;;;
ADVANCES IN PHYSIOLOGY EDUCATION;1043-4046;;25;;;;;;;;
Advances in Polymer Science;0065-3195;;45;;;;;;;;
ADVANCES IN POLYMER TECHNOLOGY;0730-6679;;30;;;;;;;;
Advances in Production Engineering & Management;1854-6250;;20;;;;;;;;
Advances in Protein Chemistry and Structural Biology;1876-1623;;30;;;;;;;;
Advances in Quantum Chemistry;0065-3276;;20;;;;;;;;
Advances in Skin & Wound Care;1527-7941;;30;;;;;;;;
ADVANCES IN SPACE RESEARCH;0273-1177;;20;;;;;;;;
Advances in Strategic Management-A Research Annual;0742-3322;;15;;;;;;;;
ADVANCES IN STRUCTURAL ENGINEERING;1369-4332;;20;;;;;;;;
Advances in the Study of Behavior;0065-3454;;45;;;;;;;;
Advances in Theoretical and Mathematical Physics;1095-0761;;30;;;;;;;;
ADVANCES IN THERAPY;0741-238X;;25;;;;;;;;
Advances in Vibration Engineering;0972-5768;;15;;;;;;;;
Advances in Virus Research;0065-3527;;35;;;;;;;;
ADVANCES IN WATER RESOURCES;0309-1708;;45;;;;;;;;
Aeolian Research;1875-9637;;30;;;;;;;;
Aequationes Mathematicae;0001-9054;;25;;;;;;;;
AEROBIOLOGIA;0393-5965;;25;;;;;;;;
AERONAUTICAL JOURNAL;0001-9240;;20;;;;;;;;
Aerosol and Air Quality Research;1680-8584;;30;;;;;;;;
AEROSOL SCIENCE AND TECHNOLOGY;0278-6826;;35;;;;;;;;
AEROSPACE AMERICA;0740-722X;;15;;;;;;;;
Aerospace Medicine and Human Performance;2375-6314;;20;;;;;;;;
AEROSPACE SCIENCE AND TECHNOLOGY;1270-9638;;40;;;;;;;;
AESTHETIC PLASTIC SURGERY;0364-216X;;30;;;;;;;;
Aesthetic Surgery Journal;1090-820X;;30;;;;;;;;
AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND
COMMUNICATIONS;1434-8411;;20;;;;;;;;
AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK;0886-1099;;25;;;;;;;;
AFINIDAD;0001-9704;;15;;;;;;;;
AFRICA;0001-9720;;35;;;;;;;;
Africa Spectrum;0002-0397;;35;;;;;;;;
AFRICAN AFFAIRS;0001-9909;;45;;;;;;;;
African and Asian Studies;1569-2094;;20;;;;;;;;
AFRICAN DEVELOPMENT REVIEW-REVUE AFRICAINE DE
DEVELOPPEMENT;1017-6772;;15;;;;;;;;
AFRICAN ENTOMOLOGY;1021-3589;;20;;;;;;;;
African Health Sciences;1680-6905;;20;;;;;;;;
AFRICAN INVERTEBRATES;1681-5556;;20;;;;;;;;
AFRICAN JOURNAL OF AQUATIC SCIENCE;1608-5914;;15;;;;;;;;
AFRICAN JOURNAL OF ECOLOGY;0141-6707;;15;;;;;;;;
AFRICAN JOURNAL OF HERPETOLOGY;2156-4574;;20;;;;;;;;
African Journal of Library Archives and Information Science;0795-4778;;15;;;;;;;;
AFRICAN JOURNAL OF MARINE SCIENCE;1814-232X;;25;;;;;;;;
African Journal of Psychiatry;1994-8220;;20;;;;;;;;
AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE;1022-0119;;15;;;;;;;;
African Journal of Traditional Complementary and
Alternative Medicines;0189-6016;;20;;;;;;;;
African Natural History;1816-8396;2305-7963;15;;;;;;;;
AFRICAN STUDIES;0002-0184;;25;;;;;;;;
African Studies Review;0002-0206;;30;;;;;;;;
AFRICAN ZOOLOGY;1562-7020;;20;;;;;;;;
Africana Linguistica;0065-4124;;25;;;;;;;;
AGE;0161-9152;;40;;;;;;;;
AGE AND AGEING;0002-0729;;40;;;;;;;;
AGEING & SOCIETY;0144-686X;;25;;;;;;;;
AGEING RESEARCH REVIEWS;1568-1637;;45;;;;;;;;
AGGRESSION AND VIOLENT BEHAVIOR;1359-1789;;40;;;;;;;;
AGGRESSIVE BEHAVIOR;0096-140X;;35;;;;;;;;
AGING & MENTAL HEALTH;1360-7863;;25;;;;;;;;
Aging and Disease;2152-5250;;35;;;;;;;;
